ATM ID,State_Name,ATM_City,Terminal_Location,date,No of Withdrawals,Total Amount Dispensed
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-02,50,129160
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-03,48,138835
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-04,52,110772
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-05,48,113204
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-06,42,110670
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-07,54,121257
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-08,61,113564
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-09,82,146826
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-10,73,171296
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-11,34,81404
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-12,36,107757
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-13,36,108160
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-14,55,120151
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-15,29,82239
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-16,62,152383
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-17,54,146754
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-18,33,89041
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-19,43,119140
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-20,55,117823
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-21,46,121828
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-22,52,89472
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-23,83,155276
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-24,76,177094
ATM1001,Kerala,Trivandrum,Railway Station,2026-05-25,51,112925
ATM1002,Gujarat,Surat,Market Area,2026-04-16,109,312316
ATM1002,Gujarat,Surat,Market Area,2026-04-17,142,294278
ATM1002,Gujarat,Surat,Market Area,2026-04-18,257,388712
ATM1002,Gujarat,Surat,Market Area,2026-04-19,231,386125
ATM1002,Gujarat,Surat,Market Area,2026-04-20,103,299532
ATM1002,Gujarat,Surat,Market Area,2026-04-21,159,294516
ATM1002,Gujarat,Surat,Market Area,2026-04-22,167,312428
ATM1002,Gujarat,Surat,Market Area,2026-04-23,139,286658
ATM1002,Gujarat,Surat,Market Area,2026-04-24,199,308528
ATM1002,Gujarat,Surat,Market Area,2026-04-25,157,384818
ATM1002,Gujarat,Surat,Market Area,2026-04-26,211,384115
ATM1002,Gujarat,Surat,Market Area,2026-04-27,118,288828
ATM1002,Gujarat,Surat,Market Area,2026-04-28,187,326737
ATM1002,Gujarat,Surat,Market Area,2026-04-29,132,302122
ATM1002,Gujarat,Surat,Market Area,2026-04-30,155,319773
ATM1002,Gujarat,Surat,Market Area,2026-05-01,136,313174
ATM1002,Gujarat,Surat,Market Area,2026-05-02,181,386218
ATM1002,Gujarat,Surat,Market Area,2026-05-03,199,377568
ATM1002,Gujarat,Surat,Market Area,2026-05-04,104,305731
ATM1002,Gujarat,Surat,Market Area,2026-05-05,102,279347
ATM1002,Gujarat,Surat,Market Area,2026-05-06,136,303097
ATM1002,Gujarat,Surat,Market Area,2026-05-07,106,301645
ATM1002,Gujarat,Surat,Market Area,2026-05-08,149,300114
ATM1002,Gujarat,Surat,Market Area,2026-05-09,137,339620
ATM1002,Gujarat,Surat,Market Area,2026-05-10,143,396940
ATM1002,Gujarat,Surat,Market Area,2026-05-11,108,313861
ATM1002,Gujarat,Surat,Market Area,2026-05-12,116,296523
ATM1002,Gujarat,Surat,Market Area,2026-05-13,125,315263
ATM1002,Gujarat,Surat,Market Area,2026-05-14,97,289357
ATM1002,Gujarat,Surat,Market Area,2026-05-15,116,301840
ATM1002,Gujarat,Surat,Market Area,2026-05-16,236,374429
ATM1002,Gujarat,Surat,Market Area,2026-05-17,135,382616
ATM1002,Gujarat,Surat,Market Area,2026-05-18,111,304711
ATM1002,Gujarat,Surat,Market Area,2026-05-19,162,311322
ATM1002,Gujarat,Surat,Market Area,2026-05-20,112,304214
ATM1002,Gujarat,Surat,Market Area,2026-05-21,131,306163
ATM1002,Gujarat,Surat,Market Area,2026-05-22,171,282422
ATM1002,Gujarat,Surat,Market Area,2026-05-23,224,378178
ATM1002,Gujarat,Surat,Market Area,2026-05-24,252,382943
ATM1002,Gujarat,Surat,Market Area,2026-05-25,130,326079
ATM1003,Karnataka,Mysore,Railway Station,2026-04-16,120,353214
ATM1003,Karnataka,Mysore,Railway Station,2026-04-17,234,365821
ATM1003,Karnataka,Mysore,Railway Station,2026-04-18,151,410339
ATM1003,Karnataka,Mysore,Railway Station,2026-04-19,205,451730
ATM1003,Karnataka,Mysore,Railway Station,2026-04-20,119,355400
ATM1003,Karnataka,Mysore,Railway Station,2026-04-21,198,325975
ATM1003,Karnataka,Mysore,Railway Station,2026-04-22,195,365799
ATM1003,Karnataka,Mysore,Railway Station,2026-04-23,176,367091
ATM1003,Karnataka,Mysore,Railway Station,2026-04-24,156,349438
ATM1003,Karnataka,Mysore,Railway Station,2026-04-25,198,437238
ATM1003,Karnataka,Mysore,Railway Station,2026-04-26,153,438030
ATM1003,Karnataka,Mysore,Railway Station,2026-04-27,159,337166
ATM1003,Karnataka,Mysore,Railway Station,2026-04-28,201,339118
ATM1003,Karnataka,Mysore,Railway Station,2026-04-29,114,327269
ATM1003,Karnataka,Mysore,Railway Station,2026-04-30,215,386341
ATM1003,Karnataka,Mysore,Railway Station,2026-05-01,212,331104
ATM1003,Karnataka,Mysore,Railway Station,2026-05-02,210,448581
ATM1003,Karnataka,Mysore,Railway Station,2026-05-03,300,464957
ATM1003,Karnataka,Mysore,Railway Station,2026-05-04,157,325225
ATM1003,Karnataka,Mysore,Railway Station,2026-05-05,208,371166
ATM1003,Karnataka,Mysore,Railway Station,2026-05-06,181,377515
ATM1003,Karnataka,Mysore,Railway Station,2026-05-07,151,355033
ATM1003,Karnataka,Mysore,Railway Station,2026-05-08,170,357542
ATM1003,Karnataka,Mysore,Railway Station,2026-05-09,226,418076
ATM1003,Karnataka,Mysore,Railway Station,2026-05-10,180,432747
ATM1003,Karnataka,Mysore,Railway Station,2026-05-11,166,336517
ATM1003,Karnataka,Mysore,Railway Station,2026-05-12,138,359996
ATM1003,Karnataka,Mysore,Railway Station,2026-05-13,149,352109
ATM1003,Karnataka,Mysore,Railway Station,2026-05-14,147,356241
ATM1003,Karnataka,Mysore,Railway Station,2026-05-15,152,351858
ATM1003,Karnataka,Mysore,Railway Station,2026-05-16,236,460082
ATM1003,Karnataka,Mysore,Railway Station,2026-05-17,171,437319
ATM1003,Karnataka,Mysore,Railway Station,2026-05-18,207,355547
ATM1003,Karnataka,Mysore,Railway Station,2026-05-19,163,349843
ATM1003,Karnataka,Mysore,Railway Station,2026-05-20,123,360327
ATM1003,Karnataka,Mysore,Railway Station,2026-05-21,121,353429
ATM1003,Karnataka,Mysore,Railway Station,2026-05-22,191,331817
ATM1003,Karnataka,Mysore,Railway Station,2026-05-23,217,443548
ATM1003,Karnataka,Mysore,Railway Station,2026-05-24,228,436216
ATM1003,Karnataka,Mysore,Railway Station,2026-05-25,131,353653
ATM1004,Kerala,Calicut,Bus Stand,2026-04-16,299,482027
ATM1004,Kerala,Calicut,Bus Stand,2026-04-17,192,484491
ATM1004,Kerala,Calicut,Bus Stand,2026-04-18,226,602879
ATM1004,Kerala,Calicut,Bus Stand,2026-04-19,246,583348
ATM1004,Kerala,Calicut,Bus Stand,2026-04-20,298,486956
ATM1004,Kerala,Calicut,Bus Stand,2026-04-21,245,470439
ATM1004,Kerala,Calicut,Bus Stand,2026-04-22,203,491625
ATM1004,Kerala,Calicut,Bus Stand,2026-04-23,247,472953
ATM1004,Kerala,Calicut,Bus Stand,2026-04-24,195,502098
ATM1004,Kerala,Calicut,Bus Stand,2026-04-25,219,604955
ATM1004,Kerala,Calicut,Bus Stand,2026-04-26,412,625908
ATM1004,Kerala,Calicut,Bus Stand,2026-04-27,185,476726
ATM1004,Kerala,Calicut,Bus Stand,2026-04-28,272,437034
ATM1004,Kerala,Calicut,Bus Stand,2026-04-29,220,489562
ATM1004,Kerala,Calicut,Bus Stand,2026-04-30,193,465798
ATM1004,Kerala,Calicut,Bus Stand,2026-05-01,267,479667
ATM1004,Kerala,Calicut,Bus Stand,2026-05-02,280,589333
ATM1004,Kerala,Calicut,Bus Stand,2026-05-03,272,570535
ATM1004,Kerala,Calicut,Bus Stand,2026-05-04,175,464703
ATM1004,Kerala,Calicut,Bus Stand,2026-05-05,175,467592
ATM1004,Kerala,Calicut,Bus Stand,2026-05-06,213,463689
ATM1004,Kerala,Calicut,Bus Stand,2026-05-07,271,482261
ATM1004,Kerala,Calicut,Bus Stand,2026-05-08,196,481729
ATM1004,Kerala,Calicut,Bus Stand,2026-05-09,221,604054
ATM1004,Kerala,Calicut,Bus Stand,2026-05-10,233,614546
ATM1004,Kerala,Calicut,Bus Stand,2026-05-11,176,508241
ATM1004,Kerala,Calicut,Bus Stand,2026-05-12,289,498501
ATM1004,Kerala,Calicut,Bus Stand,2026-05-13,179,474340
ATM1004,Kerala,Calicut,Bus Stand,2026-05-14,318,479384
ATM1004,Kerala,Calicut,Bus Stand,2026-05-15,211,474909
ATM1004,Kerala,Calicut,Bus Stand,2026-05-16,272,587668
ATM1004,Kerala,Calicut,Bus Stand,2026-05-17,319,605112
ATM1004,Kerala,Calicut,Bus Stand,2026-05-18,161,466694
ATM1004,Kerala,Calicut,Bus Stand,2026-05-19,304,502846
ATM1004,Kerala,Calicut,Bus Stand,2026-05-20,217,475880
ATM1004,Kerala,Calicut,Bus Stand,2026-05-21,171,479523
ATM1004,Kerala,Calicut,Bus Stand,2026-05-22,193,474727
ATM1004,Kerala,Calicut,Bus Stand,2026-05-23,267,575979
ATM1004,Kerala,Calicut,Bus Stand,2026-05-24,286,603289
ATM1004,Kerala,Calicut,Bus Stand,2026-05-25,289,493946
ATM1005,Telangana,Warangal,College Campus,2026-04-16,42,98826
ATM1005,Telangana,Warangal,College Campus,2026-04-17,46,83584
ATM1005,Telangana,Warangal,College Campus,2026-04-18,47,128678
ATM1005,Telangana,Warangal,College Campus,2026-04-19,46,132787
ATM1005,Telangana,Warangal,College Campus,2026-04-20,33,91666
ATM1005,Telangana,Warangal,College Campus,2026-04-21,58,88665
ATM1005,Telangana,Warangal,College Campus,2026-04-22,52,97744
ATM1005,Telangana,Warangal,College Campus,2026-04-23,45,104247
ATM1005,Telangana,Warangal,College Campus,2026-04-24,35,89348
ATM1005,Telangana,Warangal,College Campus,2026-04-25,66,102460
ATM1005,Telangana,Warangal,College Campus,2026-04-26,60,132447
ATM1005,Telangana,Warangal,College Campus,2026-04-27,54,86546
ATM1005,Telangana,Warangal,College Campus,2026-04-28,35,95284
ATM1005,Telangana,Warangal,College Campus,2026-04-29,23,66082
ATM1005,Telangana,Warangal,College Campus,2026-04-30,19,51708
ATM1005,Telangana,Warangal,College Campus,2026-05-01,56,95667
ATM1005,Telangana,Warangal,College Campus,2026-05-02,63,132817
ATM1005,Telangana,Warangal,College Campus,2026-05-03,36,108371
ATM1005,Telangana,Warangal,College Campus,2026-05-04,35,58882
ATM1005,Telangana,Warangal,College Campus,2026-05-05,30,84119
ATM1005,Telangana,Warangal,College Campus,2026-05-06,43,86399
ATM1005,Telangana,Warangal,College Campus,2026-05-07,42,92135
ATM1005,Telangana,Warangal,College Campus,2026-05-08,35,93199
ATM1005,Telangana,Warangal,College Campus,2026-05-09,37,95304
ATM1005,Telangana,Warangal,College Campus,2026-05-10,72,112550
ATM1005,Telangana,Warangal,College Campus,2026-05-11,32,90187
ATM1005,Telangana,Warangal,College Campus,2026-05-12,48,88721
ATM1005,Telangana,Warangal,College Campus,2026-05-13,51,90076
ATM1005,Telangana,Warangal,College Campus,2026-05-14,33,95085
ATM1005,Telangana,Warangal,College Campus,2026-05-15,35,76136
ATM1005,Telangana,Warangal,College Campus,2026-05-16,43,96160
ATM1005,Telangana,Warangal,College Campus,2026-05-17,57,108543
ATM1005,Telangana,Warangal,College Campus,2026-05-18,45,77889
ATM1005,Telangana,Warangal,College Campus,2026-05-19,26,74688
ATM1005,Telangana,Warangal,College Campus,2026-05-20,30,84089
ATM1005,Telangana,Warangal,College Campus,2026-05-21,37,87332
ATM1005,Telangana,Warangal,College Campus,2026-05-22,28,79257
ATM1005,Telangana,Warangal,College Campus,2026-05-23,40,103628
ATM1005,Telangana,Warangal,College Campus,2026-05-24,71,142703
ATM1005,Telangana,Warangal,College Campus,2026-05-25,33,77246
ATM1006,Delhi,New Delhi,Bus Stand,2026-04-16,135,287704
ATM1006,Delhi,New Delhi,Bus Stand,2026-04-17,115,280390
ATM1006,Delhi,New Delhi,Bus Stand,2026-04-18,160,347875
ATM1006,Delhi,New Delhi,Bus Stand,2026-04-19,186,347290
ATM1006,Delhi,New Delhi,Bus Stand,2026-04-20,121,294754
ATM1006,Delhi,New Delhi,Bus Stand,2026-04-21,172,287583
ATM1006,Delhi,New Delhi,Bus Stand,2026-04-22,181,288550
ATM1006,Delhi,New Delhi,Bus Stand,2026-04-23,112,261292
ATM1006,Delhi,New Delhi,Bus Stand,2026-04-24,103,267226
ATM1006,Delhi,New Delhi,Bus Stand,2026-04-25,118,335242
ATM1006,Delhi,New Delhi,Bus Stand,2026-04-26,129,347894
ATM1006,Delhi,New Delhi,Bus Stand,2026-04-27,152,282444
ATM1006,Delhi,New Delhi,Bus Stand,2026-04-28,100,273647
ATM1006,Delhi,New Delhi,Bus Stand,2026-04-29,151,304593
ATM1006,Delhi,New Delhi,Bus Stand,2026-04-30,106,291026
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-01,134,282529
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-02,137,361989
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-03,190,345248
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-04,150,285400
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-05,140,301628
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-06,129,299564
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-07,139,272464
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-08,155,299703
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-09,186,345364
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-10,164,368807
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-11,137,295298
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-12,88,260994
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-13,186,283107
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-14,120,282959
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-15,91,267566
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-16,211,381519
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-17,129,347503
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-18,142,286462
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-19,132,297960
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-20,156,301942
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-21,115,289820
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-22,171,299311
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-23,155,353184
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-24,194,349299
ATM1006,Delhi,New Delhi,Bus Stand,2026-05-25,94,266661
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-04-16,159,449521
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-04-17,217,458615
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-04-18,201,589075
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-04-19,264,584760
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-04-20,145,424355
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-04-21,182,479624
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-04-22,247,451063
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-04-23,255,482955
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-04-24,249,466292
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-04-25,317,573260
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-04-26,269,582812
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-04-27,183,461412
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-04-28,177,490350
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-04-29,311,483789
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-04-30,298,480202
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-01,221,470308
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-02,299,558132
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-03,202,597121
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-04,201,467387
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-05,242,489257
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-06,250,468760
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-07,308,465485
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-08,270,485931
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-09,290,596598
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-10,292,581097
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-11,216,457809
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-12,230,453903
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-13,164,460085
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-14,160,446706
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-15,209,471736
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-16,261,570827
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-17,213,566242
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-18,152,450843
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-19,291,478950
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-20,223,451565
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-21,197,455151
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-22,161,455301
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-23,196,578631
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-24,207,577019
ATM1007,Andhra Pradesh,Vijayawada,Airport,2026-05-25,193,473314
ATM1008,Kerala,Kochi,Hospital,2026-04-16,163,425550
ATM1008,Kerala,Kochi,Hospital,2026-04-17,155,435796
ATM1008,Kerala,Kochi,Hospital,2026-04-18,249,538496
ATM1008,Kerala,Kochi,Hospital,2026-04-19,301,556747
ATM1008,Kerala,Kochi,Hospital,2026-04-20,236,432029
ATM1008,Kerala,Kochi,Hospital,2026-04-21,251,438400
ATM1008,Kerala,Kochi,Hospital,2026-04-22,228,452254
ATM1008,Kerala,Kochi,Hospital,2026-04-23,173,437814
ATM1008,Kerala,Kochi,Hospital,2026-04-24,176,436393
ATM1008,Kerala,Kochi,Hospital,2026-04-25,239,530381
ATM1008,Kerala,Kochi,Hospital,2026-04-26,224,539280
ATM1008,Kerala,Kochi,Hospital,2026-04-27,239,419970
ATM1008,Kerala,Kochi,Hospital,2026-04-28,180,432574
ATM1008,Kerala,Kochi,Hospital,2026-04-29,202,442544
ATM1008,Kerala,Kochi,Hospital,2026-04-30,231,429623
ATM1008,Kerala,Kochi,Hospital,2026-05-01,244,423352
ATM1008,Kerala,Kochi,Hospital,2026-05-02,211,540358
ATM1008,Kerala,Kochi,Hospital,2026-05-03,187,514524
ATM1008,Kerala,Kochi,Hospital,2026-05-04,156,443782
ATM1008,Kerala,Kochi,Hospital,2026-05-05,195,444140
ATM1008,Kerala,Kochi,Hospital,2026-05-06,164,456226
ATM1008,Kerala,Kochi,Hospital,2026-05-07,287,438715
ATM1008,Kerala,Kochi,Hospital,2026-05-08,248,436380
ATM1008,Kerala,Kochi,Hospital,2026-05-09,227,536770
ATM1008,Kerala,Kochi,Hospital,2026-05-10,252,532346
ATM1008,Kerala,Kochi,Hospital,2026-05-11,163,445840
ATM1008,Kerala,Kochi,Hospital,2026-05-12,177,439338
ATM1008,Kerala,Kochi,Hospital,2026-05-13,246,438746
ATM1008,Kerala,Kochi,Hospital,2026-05-14,196,427437
ATM1008,Kerala,Kochi,Hospital,2026-05-15,138,409130
ATM1008,Kerala,Kochi,Hospital,2026-05-16,245,541599
ATM1008,Kerala,Kochi,Hospital,2026-05-17,220,567584
ATM1008,Kerala,Kochi,Hospital,2026-05-18,149,424749
ATM1008,Kerala,Kochi,Hospital,2026-05-19,265,448138
ATM1008,Kerala,Kochi,Hospital,2026-05-20,180,418704
ATM1008,Kerala,Kochi,Hospital,2026-05-21,262,442983
ATM1008,Kerala,Kochi,Hospital,2026-05-22,266,436452
ATM1008,Kerala,Kochi,Hospital,2026-05-23,227,525671
ATM1008,Kerala,Kochi,Hospital,2026-05-24,247,531447
ATM1008,Kerala,Kochi,Hospital,2026-05-25,166,421058
ATM1009,Delhi,New Delhi,Bus Stand,2026-04-16,57,171541
ATM1009,Delhi,New Delhi,Bus Stand,2026-04-17,72,188501
ATM1009,Delhi,New Delhi,Bus Stand,2026-04-18,112,235643
ATM1009,Delhi,New Delhi,Bus Stand,2026-04-19,87,237321
ATM1009,Delhi,New Delhi,Bus Stand,2026-04-20,82,182415
ATM1009,Delhi,New Delhi,Bus Stand,2026-04-21,81,205547
ATM1009,Delhi,New Delhi,Bus Stand,2026-04-22,64,179129
ATM1009,Delhi,New Delhi,Bus Stand,2026-04-23,90,184230
ATM1009,Delhi,New Delhi,Bus Stand,2026-04-24,66,192823
ATM1009,Delhi,New Delhi,Bus Stand,2026-04-25,100,239827
ATM1009,Delhi,New Delhi,Bus Stand,2026-04-26,78,228685
ATM1009,Delhi,New Delhi,Bus Stand,2026-04-27,124,190562
ATM1009,Delhi,New Delhi,Bus Stand,2026-04-28,96,190408
ATM1009,Delhi,New Delhi,Bus Stand,2026-04-29,107,176682
ATM1009,Delhi,New Delhi,Bus Stand,2026-04-30,79,208633
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-01,85,184259
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-02,136,228443
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-03,116,225369
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-04,79,194072
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-05,79,192204
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-06,82,200667
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-07,89,192634
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-08,70,195316
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-09,135,238512
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-10,148,227921
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-11,145,231246
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-12,104,199211
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-13,68,195896
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-14,69,201267
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-15,116,209546
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-16,113,246325
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-17,114,255405
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-18,85,204194
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-19,89,185500
ATM1009,Delhi,New Delhi,Bus Stand,2026-05-20,68,184307
